Product_name,Quantity,Category,Subcategory,Subcategory2,Subcategory3,
Chobani Greek Yogurt - Peach,505,Food,Yogurt,,All,
Cowboy Caviar & Chips,499,Food,Snack,Chips & Dip,All,
Jackson Hole Cowboy Huckleberry Chocolate Bar,499,Food,Snack,Chocolate,All,
Kates Peanut Butter Dark Chocolate,498,Food,Snack,Chocolate,All,
d,495,,,,,
c,488,,,,,
Dr. Pepper 16.9oz.,485,Beverage,Soda,,All,
Jedediah Parfait,478,Food,,,Breakfast,
Monster Cookies,471,Food,Snack,Cookie,All,
Coke Zero Sugar,471,Food,Coke,Healthy,All,
Jedediahs - Parfait,465,Food,,,Breakfast,
Sabra - Hummus/Pretzel Classic 4.56 oz.,462,Food,Snack,,All,
Sabra - Hummus/Pretzel Red Pepper 4.56 oz.,461,Food,Snack,,All,
Dasani,460,Beverage,Water,,All,
Jackson Hole Wild Huckleberry Jam 8OZ (226g),457,Food,Condiment,Jam,All,
Cheez-it White Cheddar Snack Pack 1.5oz,456,Food,Snack,Crackers,All,
Kind Bar Dark Chocolate Nuts & Sea Salt,455,Food,Snack,Chocolate,All,
12 oz. Coffee\Tea,455,Beverage,Coffee/Tea,,Breakfast,
Keebler Crackers - Cheese & Peanut Butter,455,Food,Snack,Crackers,All,
Powerade - Fruit Punch,449,Beverage,Sports Drink,,All,
Snickers Bar,446,Food,Snack,Candy,All,
vitamin water energy tropical citrus,437,Beverage,Vitamin Water,,All,
Avocado Toast,431,Food,Snack,Toast,Breakfast,
Nature Valley Chewy Trail Mix Fruit & Nut Granola,429,Food,Snack,Bar,All,
TGT Magnet,427,Home Decor,Magnet,,All,
Cliff Bar - Crunchy Peanut Butter 2.4oz.,417,Food,Snack,Bar,All,
Ruffles Cheddar & Sour Cream 1.5oz.,417,Food,Snack,Chips,All,
Kates Peanut Butter Milk Chocolate,413,Food,Snack,Chocolate,All,
Dots Homestyle Pretzels,411,Food,Snack,Pretzels,All,
Darigold 2% Milk,410,Beverage,Milk,,All,
Jackson Hole Wild Huckleberry Taffy,407,Food,Snack,Candy,All,
Hersheys Milk Chocolate w/ Almonds,405,Food,Snack,Chocolate,All,
Keebler Crackers - Club & Cheddar,405,Food,Snack,Crackers,All,
Pringles Original 1.3oz,403,Food,Snack,Chips,All,
e,403,,,,,
Planters - Salted Peanuts,402,Food,Snack,Nuts,All,
cookie,400,Food,Snack,Cookie,All,
Naked Juice - Blue Machine,400,Beverage,Juice,,All,
Monster Energy - Zero Ultra,399,Beverage,Energy Drink,,All,
Sabra Hummus & Pretzel - Classic,391,Food,Snack,Pretzels,All,
Pringles Sour Cream & Onion 1.4oz,387,Food,Snack,Chips,All,
San Pellegrino 16.9oz.,387,Beverage,Sparkling Water,,All,
Cheddar Cheese Pringles 1.4oz.,382,Food,Snack,Chips,All,
Tates Bake Shop Tiny Crispy Chocolate Chip Cookie,381,Food,Snack,Cookie,All,
Chefs Line - Cinnamon Coffee Cake 3.5oz.,380,Food,Desert,Cake,All,
Devonshire Premium Belgian Waffle,380,Food,Snack,Waffle,Breakfast,
DariGold 2% Reduced Fat Milk 8 oz.,375,Beverage,Milk,,All,
Sabra Breakfast Avocado Toast,374,Food,Snack,Toast,Breakfast,
BUBBLR Lemon Lime Antioxidant Sparkling Water (12,373,Beverage,Sparkling Water,,All,
coffee,372,Beverage,Coffee,,Breakfast,
Chobani Greek Yogurt - Blueberry,371,Food,Yogurt,,All,
Americano 12oz - HOT,363,Beverage,Coffee,,Breakfast,
Starbursts Original,362,Food,Snack,Candy,All,
Naked Juice - Green Machine,358,Beverage,Juice,,All,
z,358,,,,,
Southwest Chicken Wrap,356,Food,Wrap,Chicken,Lunch,
Reeses Egg PB single,355,Food,Snack,Candy,All,
Emp Dasani,353,Beverage,Water,,All,
Cliff Bar - Chocolate Chip 2.4oz.,352,Food,Snack,Bar,All,
Charcuterie,347,Food,Platter,,Lunch,
Jedediahs Original Trail Mix,344,Food,Snack,Trail Mix,All,
Kit Kat,344,Food,Snack,Chocolate,All,
Sun Chips Garden Salsa 1.5oz.,342,Food,Snack,Chips,All,
Protein Box,341,Food,Protein,Healthy,Lunch,
Zero XXX -Vitamin Water,339,Beverage,Vitamin Water,Healthy,All,
Butter Milk Pancakes,337,Food,Snack,Pancakes,Breakfast,
Oreo- 6 Count Chocolate Sandwich Cookies 2.4oz.,336,Food,Snack,Cookie,All,
Fresh Fruit,333,Food,Fruit,,Breakfast,
Jackson Hole Pop Fine Artisan Popcorn,331,Food,Snack,Popcorn,All,
Creminelli Snack Tray – Sopressata Salami & Monter,330,Food,Snack,Salami,Lunch,
Trident - Original Flavor Sugar Free Gum 14sticks,328,Food,Snack,Gum,All,
Creminelli,327,Food,Snack,,Lunch,
"Peanuts, Large",326,Food,Snack,Nuts,All,
Chefs Line Iced Lemon Loaf Cake,320,Food,Desert,Cake,All,
Ham and Cheddar Croissant,320,Food,Crossiant,Ham,Breakfast,
Trident Tropical Twist Sugar Free Gum 14 pieces,319,Food,Snack,Gum,All,
Chobani Greek Yogurt Strawberry 5.3 oz. Cup,319,Food,Yogurt,,All,
Powerade - Mountain Berry Blast,313,Beverage,Sports Drink,,All,
Kind Bar Beanut Butter Dark Chocolate,311,Food,Snack,Bar,All,
Sweet Potato Waffle Fries,311,Food,Fries,,Lunch,
Club Wrap,309,Food,Wrap,,Lunch,
Metro Deli - Kettle Cooked Chips - Sea Salt & Vine,304,Food,Snack,Chips,All,
Metro Deli - Kettle Cooked Chips - Original Sea Sa,303,Food,Snack,Chips,All,
Naked Juice - Strawberry Banana,302,Beverage,Juice,,All,
cheese,296,Food,Dairy,Cheese,All,
Sourdough Biscuits with Gravy or Jam,294,Food,Biscuits,,Breakfast,
Metro Deli - Kettle Cooked Chips -Hickory Barbeque,294,Food,Snack,Chips,All,
Side of Eggs,292,Food,,Egg,Breakfast,
Turkey Swiss,289,Food,Sandwich,,Lunch,
Bubblr Twisted Elixr 12oz,289,Beverage,Sparkling Water,,All,
Chobani Greek Yogurt - Peach 5.3 oz. Cup,289,Food,Yogurt,,All,
Huckleberry Licorice,287,Food,Snack,Candy,All,
Chobani Greek Yogurt - Vanilla,286,Food,Yogurt,,All,
Chai Latte - 12oz HOT,286,Beverage,Coffee,,All,
Butterfinger Bar,284,Food,Snack,Candy,All,
Keebler Crackers - Cheese & Cheddar,284,Food,Snack,Crackers,All,
M&M - Plain 1.69oz,284,Food,Snack,Candy,All,
Bubblr Pitaya Berry Nectr 12oz,283,Beverage,Sparkling Water,,All,
CHEEZ-IT - Original,281,Food,Snack,Crackers,All,
Sabra Hummus & Pretzel - Original,276,Food,Snack,Pretzels,All,
Glaceau Vitamin Water XXX Acai Blueberry Pomegrana,271,Beverage,Vitamin Water,,All,
Fritos Flavor Twists Honey BBQ 2oz.,271,Food,Snack,Chips,All,
Grand Teton Animal Cookies - Vanilla 2oz. Box,267,Food,Snack,Cookie,All,
Pulled Pork Burger,266,Food,Burger,Pork,Lunch,
Funyuns original 1 1/4oz.,264,Food,Snack,Chips,All,
Monster Energy - Ultra Sunrize,262,Beverage,Energy Drink,,All,
Cheetos Crunchy Cheese Flavored Snacks,260,Food,Snack,Chips,All,
Jackson Hole Cowboy Chocolate Bar,259,Food,Snack,Chocolate,All,
vitamin water zero shine strawberry lemonade,259,Beverage,Vitamin Water,,All,
Creminelli - Sopressata Salami w/ Monterey Jack Ch,256,Food,Snack,Salami,Lunch,
JH Locale Socks,251,Cloths,Apparel,Socks,All,
Naked Juice - Strawberry Banana 15.2 oz.,251,Beverage,Juice,,All,
Keebler Crackers - Toast & Peanut Butter,250,Food,Snack,Crackers,All,
Chobani Greek Yogurt - Blueberry 5.3 oz. Cup,247,Food,Yogurt,,All,
Dots Homestyle Pretzels - Original 2.5oz,246,Food,Snack,Pretzels,All,
sandwich,246,Food,Sandwich,,Breakfast/Lunch,
Cheetos Puffs 1 3/8oz,244,Food,Snack,Chips,All,
drink,244,Beverage,,,,
Vitamin Water - Focus,244,Beverage,Vitamin Water,,All,
Sun Chips Original Whole Grain,244,Food,Snack,Chips,All,
Sun Chips Original Whole Grain 1.5oz.,244,Food,Snack,Chips,All,
Creminelli - Genoa Salami w/ Provolone Cheese & Cr,243,Food,Snack,Salami,Lunch,
Chobani Greek Yogurt - Vanilla 5.3 oz. Cup,241,Food,Yogurt,,All,
Powerade - Fruit Punch Zero Sugar,239,Beverage,Sports Drink,,All,
Chefs Line Chocolate Banana Swirled Loaf Cake,239,Food,Desert,Cake,All,
Gold Peak - Sweet Tea,239,Beverage,Tea,,All,
Kate’s Real Food Dark Chocolate Cherry Almond,239,Food,Snack,Bar,All,
Glaceau Vitamin Water Power-C Dragonfruit 20oz,239,Beverage,Vitamin Water,,All,
soda,235,Beverage,Soda,,All,
Naked Juice - Blue Machine 15.2 oz.,234,Beverage,Juice,,All,
Fanta Orange,233,Beverage,Soft Drink,,All,
Twix,233,Food,Snack,Candy,All,
Smart Water - 1L Bottle,231,Beverage,Water,,All,
GoGo SqueeZ Applesauce Apple 3.2oz.,231,Food,Fruit,,All,
Hersheys Milk Chocolate,229,Food,Snack,Chocolate,All,
Jackson Hole Smores Bar,228,Food,Snack,Chocolate,All,
Sabra - Breakfast Avocado Toast 2.7oz.,228,Food,Snack,Toast,Breakfast,
Americano 16oz - HOT,228,Beverage,Coffee,,All,
Buffalo Jerky Bag,225,Cloths,Bags,,All,
